image_path,rating,data_set
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-100619/ses-17mo/anat/sub-100619_ses-17mo_space-MNIinfant_T1w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-100619/ses-17mo/anat/sub-100619_ses-17mo_space-MNIinfant_T2w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-100619/ses-23mo/anat/sub-100619_ses-23mo_space-MNIinfant_T1w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-100619/ses-23mo/anat/sub-100619_ses-23mo_space-MNIinfant_T2w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-102606/ses-19mo/anat/sub-102606_ses-19mo_space-MNIinfant_T2w_withInitFlag.nii.gz,3,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-105040/ses-12mo/anat/sub-105040_ses-12mo_space-MNIinfant_T1w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-105040/ses-12mo/anat/sub-105040_ses-12mo_space-MNIinfant_T2w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-105040/ses-15mo/anat/sub-105040_ses-15mo_space-MNIinfant_T1w_withInitFlag.nii.gz,3,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-105040/ses-15mo/anat/sub-105040_ses-15mo_space-MNIinfant_T2w_withInitFlag.nii.gz,2,BCP
/home/faird/shared/projects/motion-QC-generalization/data/BCP/derivatives/AndyBlog_resize_approach_with_init_flag/sub-105040/ses-24mo/anat/sub-105040_ses-24mo_space-MNIinfant_T1w_withInitFlag.nii.gz,2,BCP
